AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Leather010,4K-PNG,zip,226674341,https://ambientCG.com/get?file=Leather010_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Leather010_ohbuwljc/Leather010_4K-PNG.zip
Leather010,8K-JPG,zip,359383781,https://ambientCG.com/get?file=Leather010_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Leather010_ohbuwljc/Leather010_8K-JPG.zip
Leather010,8K-PNG,zip,921073573,https://ambientCG.com/get?file=Leather010_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Leather010_ohbuwljc/Leather010_8K-PNG.zip
Bricks041,1K-JPG,zip,7534837,https://ambientCG.com/get?file=Bricks041_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks041_lq0p4y85/Bricks041_1K-JPG.zip
Bricks041,1K-PNG,zip,16583413,https://ambientCG.com/get?file=Bricks041_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks041_lq0p4y85/Bricks041_1K-PNG.zip
Bricks041,2K-JPG,zip,31656309,https://ambientCG.com/get?file=Bricks041_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks041_lq0p4y85/Bricks041_2K-JPG.zip
Bricks041,2K-PNG,zip,67410869,https://ambientCG.com/get?file=Bricks041_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks041_lq0p4y85/Bricks041_2K-PNG.zip
Bricks041,4K-JPG,zip,132484789,https://ambientCG.com/get?file=Bricks041_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks041_lq0p4y85/Bricks041_4K-JPG.zip
Bricks041,4K-PNG,zip,273227253,https://ambientCG.com/get?file=Bricks041_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks041_lq0p4y85/Bricks041_4K-PNG.zip
Bricks041,8K-JPG,zip,601502709,https://ambientCG.com/get?file=Bricks041_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks041_lq0p4y85/Bricks041_8K-JPG.zip
Bricks041,8K-PNG,zip,1145536373,https://ambientCG.com/get?file=Bricks041_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks041_lq0p4y85/Bricks041_8K-PNG.zip
Pipe004,1K-JPG,zip,2852076,https://ambientCG.com/get?file=Pipe004_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Pipe004_b5v7uczq/Pipe004_1K-JPG.zip
Pipe004,1K-PNG,zip,9302124,https://ambientCG.com/get?file=Pipe004_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Pipe004_b5v7uczq/Pipe004_1K-PNG.zip
Pipe004,2K-JPG,zip,8090540,https://ambientCG.com/get?file=Pipe004_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Pipe004_b5v7uczq/Pipe004_2K-JPG.zip
Pipe004,2K-PNG,zip,33089964,https://ambientCG.com/get?file=Pipe004_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Pipe004_b5v7uczq/Pipe004_2K-PNG.zip
